FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	120	34.77	18.437	0.00	0.00	25.502	1518.74	117.57	2022	11	7	4	37	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	121	34.80	18.107	0.00	0.00	25.621	1517.86	120.10	2022	11	7	4	37	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	122	34.91	17.662	0.00	0.00	25.828	1516.72	122.39	2022	11	7	4	37	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	123	34.78	17.431	0.00	0.00	25.795	1515.93	124.73	2022	11	7	4	37	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	124	34.82	17.297	0.00	0.00	25.866	1515.61	127.14	2022	11	7	4	37	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	125	34.82	17.201	0.00	0.00	25.902	1515.36	129.31	2022	11	7	4	37	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	126	34.89	17.059	0.00	0.00	25.993	1515.05	131.70	2022	11	7	4	37	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	127	34.87	16.876	0.00	0.00	26.035	1514.52	134.10	2022	11	7	4	37	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	128	35.05	16.448	0.00	0.00	26.284	1513.47	136.44	2022	11	7	4	37	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	129	35.00	16.110	0.00	0.00	26.335	1512.42	138.81	2022	11	7	4	37	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	130	35.14	15.600	0.00	0.00	26.569	1511.04	141.15	2022	11	7	4	37	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	131	34.97	15.443	0.00	0.00	26.485	1510.39	143.33	2022	11	7	4	37	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	132	35.01	15.386	0.00	0.00	26.540	1510.31	145.71	2022	11	7	4	38	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	133	35.11	15.180	0.00	0.00	26.675	1509.82	148.10	2022	11	7	4	38	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	134	35.06	14.907	0.00	0.00	26.709	1508.93	150.39	2022	11	7	4	38	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	135	35.05	14.785	0.00	0.00	26.732	1508.57	152.65	2022	11	7	4	38	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	136	35.04	14.701	0.00	0.00	26.754	1508.33	155.02	2022	11	7	4	38	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	137	35.04	14.631	0.00	0.00	26.786	1508.15	157.35	2022	11	7	4	38	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	138	35.03	14.602	0.00	0.00	26.793	1508.08	159.51	2022	11	7	4	38	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	139	35.03	14.584	0.00	0.00	26.804	1508.05	161.75	2022	11	7	4	38	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	140	35.14	14.409	0.00	0.00	26.938	1507.66	164.08	2022	11	7	4	38	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	141	35.07	14.289	0.00	0.00	26.922	1507.24	166.39	2022	11	7	4	38	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	142	35.10	14.202	0.00	0.00	26.968	1507.02	168.56	2022	11	7	4	38	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	143	35.09	14.110	0.00	0.00	26.990	1506.75	170.84	2022	11	7	4	38	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	144	35.12	13.975	0.00	0.00	27.058	1506.40	173.07	2022	11	7	4	38	24

